time (min),response
0.7,2.7515408119208274e-20
0.71,4.330324160995124e-20
0.72,6.798118338704628e-20
0.73,1.0645865718929662e-19
0.74,1.6630192973512379e-19
0.75,2.5914195196206614e-19
0.76,4.0281198818012916e-19
0.77,6.245847363774885e-19
0.78,9.660614652530059e-19
0.79,1.4905366547344743e-18
0.8,2.2940620918374283e-18
0.81,3.522024574660426e-18
0.82,5.393918759687819e-18
0.83,8.240267830923616e-18
0.84,1.2557502257483942e-17
0.85,1.908931381070029e-17
0.86,2.894693536203846e-17
0.87,4.37864962113822e-17
0.88,6.60698370706436e-17
0.89,9.944703208242252e-17
0.9,1.493159077392853e-16
0.91,2.2363826123288585e-16
0.92,3.341273504202852e-16
0.93,4.979708899827024e-16
0.94,7.403243147786834e-16
0.95,1.0979089373472126e-15
0.96,1.6241906271696266e-15
0.97,2.396813138891984e-15
0.98,3.5282388477854076e-15
0.99,5.18093961734471e-15
1.0,7.589024712822202e-15
1.01,1.1088949843029907e-14
1.02,1.6163001806794386e-14
1.03,2.3500706083893783e-14
1.04,3.408530828763079e-14
1.05,4.9315235208086554e-14
1.06,7.117421757478812e-14
1.07,1.0246891797332326e-13
1.08,1.4715994021379268e-13
1.09,2.1082165057271536e-13
1.1,3.0127918122072343e-13
1.11,4.2948845829237395e-13
1.12,6.107486167786711e-13
1.13,8.663677277704888e-13
1.14,1.225944990837431e-12
1.15,1.7304888634080373e-12
1.16,2.4366654788467216e-12
1.17,3.422570951177983e-12
1.18,4.795552292750022e-12
1.19,6.702774376170032e-12
1.2,9.34545711386783e-12
1.21,1.2998003764340034e-11
1.22,1.8033628362577353e-11
1.23,2.4958593592841627e-11
1.24,3.4457822747731556e-11
1.25,4.745549209265044e-11
1.26,6.519529493536222e-11
1.27,8.934646102185741e-11
1.28,1.221433956263261e-10
1.29,1.665690725592185e-10
1.3,2.2659519879237027e-10
1.31,3.074958188220559e-10
1.32,4.162556322718884e-10
1.33,5.621000881179499e-10
1.34,7.571815722947153e-10
1.35,1.0174650598779554e-09
1.36,1.3638678650688933e-09
1.37,1.8237220790601813e-09
1.38,2.4326455186453393e-09
1.39,3.236928206657386e-09
1.4,4.29656738286222e-09
1.41,5.689115756225711e-09
1.42,7.514546271785024e-09
1.43,9.901383371845285e-09
1.44,1.3014407074331245e-08
1.45,1.7064303880745627e-08
1.46,2.231971950784459e-08
1.47,2.9122264908202463e-08
1.48,3.790514146756436e-08
1.49,4.9216186376905496e-08
1.5,6.374629798550944e-08
1.51,8.236438672843651e-08
1.52,1.0616021352008353e-07
1.53,1.3649672806981706e-07
1.54,1.7507380833629804e-07
1.55,2.240056333346549e-07
1.56,2.8591429880747664e-07
1.57,3.6404271283696693e-07
1.58,4.623902900459265e-07
1.59,5.858755019325687e-07
1.6,7.405299398083147e-07
1.61,9.337292075866842e-07
1.62,1.1744666849726772e-06
1.63,1.4736769866048064e-06
1.64,1.8446167867301665e-06
1.65,2.303311577111673e-06
1.66,2.8690778704479108e-06
1.67,3.565131341848889e-06
1.68,4.419292402446132e-06
1.69,5.4648017035097865e-06
1.7,6.741259053416752e-06
1.71,8.2957001653808e-06
1.72,1.0183826507563977e-05
1.73,1.2471404259912094e-05
1.74,1.5235848948823718e-05
1.75,1.8568012680700947e-05
1.76,2.2574190971921024e-05
1.77,2.737836591377609e-05
1.78,3.312470174960935e-05
1.79,3.998030780694198e-05
1.8,4.813828204629803e-05
1.81,5.782104618592658e-05
1.82,6.928398036355948e-05
1.83,8.281936153153147e-05
1.84,9.876060518427598e-05
1.85,0.00011748680453018505
1.86,0.00013942755479757807
1.87,0.0001650680429768692
1.88,0.00019495437493688127
1.89,0.00022969910252442193
1.9,0.00026998690300138813
1.91,0.0003165803520621009
1.92,0.000370325719808594
1.93,0.0004321587065837647
1.94,0.0005031100226518112
1.95,0.0005843107025936043
1.96,0.0006769970322151281
1.97,0.0007825149530546185
1.98,0.000902323797563243
1.99,0.0010379991971059043
2.0,0.0011912349954950985
2.01,0.001363843993268984
2.02,0.0015577573428076487
2.03,0.0017750224121084548
2.04,0.002017798936066222
2.05,0.002288353278860166
2.06,0.002589050639939922
2.07,0.002922345049476667
2.08,0.0032907670172915163
2.09,0.0036969087223937304
2.1,0.004143406658466025
2.11,0.004632921683914076
