0.0,3.8336128093225374e-83
0.01,1.6841988793316625e-82
0.02,7.355543478691187e-82
0.03,3.193540817604284e-81
0.04,1.3783722877291838e-80
0.05,5.914213496449653e-80
0.06,2.522690159474381e-79
0.07,1.0697131275344508e-78
0.08,4.509280827350029e-78
0.09,1.889660712498496e-77
0.1,7.872216454651657e-77
0.11,3.2602200333714733e-76
0.12,1.3422503880264854e-75
0.13,5.493599019284852e-75
0.14,2.2352042725297317e-74
0.15,9.04095642581335e-74
0.16,3.635368843158894e-73
0.17,1.453180581735249e-72
0.18,5.774677633573774e-72
0.19,2.2812506870658377e-71
0.2,8.958915559043859e-71
0.21,3.4976398834193066e-70
0.22,1.3574755519320579e-69
0.23,5.237526973431271e-69
0.24,2.008898145230389e-68
0.25,7.659968972744311e-68
0.26,2.9035787522888698e-67
0.27,1.0941522934359013e-66
0.28,4.0988267975197884e-66
0.29,1.5264375691596404e-65
0.3,5.651142721281018e-65
0.31,2.079846660185562e-64
0.32,7.609642152307746e-64
0.33,2.7678024629217515e-63
0.34,1.0007922961222315e-62
0.35,3.5974178613417466e-62
0.36,1.2855114736184171e-61
0.37,4.566665830795518e-61
0.38,1.6127267226454605e-60
0.39,5.661880179377366e-60
0.4,1.9760547776254394e-59
0.41,6.856078295509005e-59
0.42,2.3647820150866777e-58
0.43,8.108585269047533e-58
0.44,2.763998259857932e-57
0.45,9.366324937562695e-57
0.46,3.1552918012622185e-56
0.47,1.0566928484045251e-55
0.48,3.5180095638674286e-55
0.49,1.1643521533745642e-54
0.5,3.830988541068584e-54
0.51,1.2530736672736003e-53
0.52,4.0745690759858883e-53
0.53,1.3171225335070619e-52
0.54,4.2326287060148804e-52
0.55,1.3521776401898798e-51
0.56,4.2943456506419373e-51
0.57,1.3558136560987906e-50
0.58,4.255424188074353e-50
0.59,1.3277785542996626e-49
0.6,4.118589156030092e-49
0.61,1.2700225037813448e-48
0.62,3.893270492219153e-48
0.63,1.1864735276388235e-47
0.64,3.5945285478769414e-47
0.65,1.082595779635231e-46
0.66,3.2413903161974214e-46
0.67,9.647994344211819e-46
0.68,2.854851760007943e-45
0.69,8.397905830609115e-45
0.7,2.4558365617808373e-44
0.71,7.139520591270724e-44
0.72,2.063383145024226e-43
0.73,5.928325701635072e-43
0.74,1.6932679726211237e-42
0.75,4.8079606800188925e-42
0.76,1.3571811259017386e-41
0.77,3.808522481109692e-41
0.78,1.0624711910415e-40
